team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
Australia,England,Australia,5 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1971-01-05,ODI # 1,http://stats.espncricinfo.com/ci/engine/match/64148.html
England,Australia,England,6 wickets,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1972-08-24,ODI # 2,http://stats.espncricinfo.com/ci/engine/match/64944.html
England,Australia,Australia,5 wickets,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1972-08-26,ODI # 3,http://stats.espncricinfo.com/ci/engine/match/64945.html
England,Australia,England,2 wickets,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1972-08-28,ODI # 4,http://stats.espncricinfo.com/ci/engine/match/64946.html
New Zealand,Pakistan,New Zealand,22 runs,Christchurch,http://stats.espncricinfo.com/ci/content/ground/58812.html,1973-02-11,ODI # 5,http://stats.espncricinfo.com/ci/engine/match/64149.html
England,New Zealand,England,7 wickets,Swansea,http://stats.espncricinfo.com/ci/content/ground/57347.html,1973-07-18,ODI # 6,http://stats.espncricinfo.com/ci/engine/match/64947.html
England,West Indies,England,1 wicket,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1973-09-05,ODI # 8,http://stats.espncricinfo.com/ci/engine/match/64949.html
England,West Indies,West Indies,8 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1973-09-07,ODI # 9,http://stats.espncricinfo.com/ci/engine/match/64950.html
New Zealand,Australia,Australia,7 wickets,Dunedin,http://stats.espncricinfo.com/ci/content/ground/58822.html,1974-03-30,ODI # 10,http://stats.espncricinfo.com/ci/engine/match/64150.html
New Zealand,Australia,Australia,31 runs,Christchurch,http://stats.espncricinfo.com/ci/content/ground/58812.html,1974-03-31,ODI # 11,http://stats.espncricinfo.com/ci/engine/match/64151.html
England,India,England,4 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1974-07-13,ODI # 12,http://stats.espncricinfo.com/ci/engine/match/64951.html
England,India,England,6 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1974-07-15,ODI # 13,http://stats.espncricinfo.com/ci/engine/match/64952.html
England,Pakistan,Pakistan,7 wickets,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1974-08-31,ODI # 14,http://stats.espncricinfo.com/ci/engine/match/64953.html
England,Pakistan,Pakistan,8 wickets,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1974-09-03,ODI # 15,http://stats.espncricinfo.com/ci/engine/match/64954.html
Australia,England,England,3 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1975-01-01,ODI # 16,http://stats.espncricinfo.com/ci/engine/match/64152.html
England,India,England,202 runs,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1975-06-07,ODI # 19,http://stats.espncricinfo.com/ci/engine/match/65035.html
East Africa,New Zealand,New Zealand,181 runs,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1975-06-07,ODI # 20,http://stats.espncricinfo.com/ci/engine/match/65036.html
Australia,Pakistan,Australia,73 runs,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1975-06-07,ODI # 21,http://stats.espncricinfo.com/ci/engine/match/65037.html
Sri Lanka,West Indies,West Indies,9 wickets,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1975-06-07,ODI # 22,http://stats.espncricinfo.com/ci/engine/match/65038.html
England,New Zealand,England,80 runs,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1975-06-11,ODI # 23,http://stats.espncricinfo.com/ci/engine/match/65039.html
East Africa,India,India,10 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1975-06-11,ODI # 24,http://stats.espncricinfo.com/ci/engine/match/65040.html
Australia,Sri Lanka,Australia,52 runs,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1975-06-11,ODI # 25,http://stats.espncricinfo.com/ci/engine/match/65041.html
Pakistan,West Indies,West Indies,1 wicket,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1975-06-11,ODI # 26,http://stats.espncricinfo.com/ci/engine/match/65042.html
England,East Africa,England,196 runs,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1975-06-14,ODI # 27,http://stats.espncricinfo.com/ci/engine/match/65043.html
India,New Zealand,New Zealand,4 wickets,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1975-06-14,ODI # 28,http://stats.espncricinfo.com/ci/engine/match/65044.html
Australia,West Indies,West Indies,7 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1975-06-14,ODI # 29,http://stats.espncricinfo.com/ci/engine/match/65045.html
Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1975-06-14,ODI # 30,http://stats.espncricinfo.com/ci/engine/match/65046.html
England,Australia,Australia,4 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1975-06-18,ODI # 31,http://stats.espncricinfo.com/ci/engine/match/65047.html
New Zealand,West Indies,West Indies,5 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1975-06-18,ODI # 32,http://stats.espncricinfo.com/ci/engine/match/65048.html
Australia,West Indies,West Indies,17 runs,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1975-06-21,ODI # 33,http://stats.espncricinfo.com/ci/engine/match/65049.html
Australia,West Indies,Australia,5 wickets,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,1975-12-20,ODI # 34,http://stats.espncricinfo.com/ci/engine/match/64155.html
New Zealand,India,New Zealand,9 wickets,Christchurch,http://stats.espncricinfo.com/ci/content/ground/58812.html,1976-02-21,ODI # 35,http://stats.espncricinfo.com/ci/engine/match/64156.html
New Zealand,India,New Zealand,80 runs,Auckland,http://stats.espncricinfo.com/ci/content/ground/58792.html,1976-02-22,ODI # 36,http://stats.espncricinfo.com/ci/engine/match/64157.html
England,West Indies,West Indies,6 wickets,Scarborough,http://stats.espncricinfo.com/ci/content/ground/57290.html,1976-08-26,ODI # 37,http://stats.espncricinfo.com/ci/engine/match/64955.html
England,West Indies,West Indies,36 runs,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1976-08-28,ODI # 38,http://stats.espncricinfo.com/ci/engine/match/64956.html
England,West Indies,West Indies,50 runs,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1976-08-30,ODI # 39,http://stats.espncricinfo.com/ci/engine/match/64957.html
Pakistan,New Zealand,New Zealand,1 run,Sialkot,http://stats.espncricinfo.com/ci/content/ground/59018.html,1976-10-16,ODI # 40,http://stats.espncricinfo.com/ci/engine/match/64158.html
West Indies,Pakistan,West Indies,4 wickets,Albion,http://stats.espncricinfo.com/ci/content/ground/59417.html,1977-03-16,ODI # 41,http://stats.espncricinfo.com/ci/engine/match/64159.html
England,Australia,England,2 wickets,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1977-06-02,ODI # 42,http://stats.espncricinfo.com/ci/engine/match/64958.html
England,Australia,England,101 runs,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1977-06-04,ODI # 43,http://stats.espncricinfo.com/ci/engine/match/64959.html
England,Australia,Australia,2 wickets,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1977-06-06,ODI # 44,http://stats.espncricinfo.com/ci/engine/match/64960.html
Pakistan,England,England,3 wickets,Sahiwal,http://stats.espncricinfo.com/ci/content/ground/59011.html,1977-12-23,ODI # 45,http://stats.espncricinfo.com/ci/engine/match/64160.html
Pakistan,England,England,6 wickets,Sialkot,http://stats.espncricinfo.com/ci/content/ground/59018.html,1977-12-30,ODI # 46,http://stats.espncricinfo.com/ci/engine/match/64161.html
Pakistan,England,Pakistan,36 runs,Lahore,http://stats.espncricinfo.com/ci/content/ground/58967.html,1978-01-13,ODI # 47,http://stats.espncricinfo.com/ci/engine/match/64162.html
West Indies,Australia,West Indies,44 runs,St John's,http://stats.espncricinfo.com/ci/content/ground/59495.html,1978-02-22,ODI # 48,http://stats.espncricinfo.com/ci/engine/match/64163.html
West Indies,Australia,Australia,2 wickets,Castries,http://stats.espncricinfo.com/ci/content/ground/59434.html,1978-04-12,ODI # 49,http://stats.espncricinfo.com/ci/engine/match/64164.html
England,Pakistan,England,132 runs,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1978-05-24,ODI # 50,http://stats.espncricinfo.com/ci/engine/match/64961.html
England,Pakistan,England,94 runs,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1978-05-26,ODI # 51,http://stats.espncricinfo.com/ci/engine/match/64962.html
England,New Zealand,England,19 runs,Scarborough,http://stats.espncricinfo.com/ci/content/ground/57290.html,1978-07-15,ODI # 52,http://stats.espncricinfo.com/ci/engine/match/64963.html
England,New Zealand,England,126 runs,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1978-07-17,ODI # 53,http://stats.espncricinfo.com/ci/engine/match/64964.html
Pakistan,India,India,4 runs,Quetta,http://stats.espncricinfo.com/ci/content/ground/58995.html,1978-10-01,ODI # 54,http://stats.espncricinfo.com/ci/engine/match/64165.html
Pakistan,India,Pakistan,8 wickets,Sialkot,http://stats.espncricinfo.com/ci/content/ground/59018.html,1978-10-13,ODI # 55,http://stats.espncricinfo.com/ci/engine/match/64166.html
Pakistan,India,Pakistan,,Sahiwal,http://stats.espncricinfo.com/ci/content/ground/59011.html,1978-11-03,ODI # 56,http://stats.espncricinfo.com/ci/engine/match/64167.html
Australia,England,England,7 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1979-01-24,ODI # 58,http://stats.espncricinfo.com/ci/engine/match/64169.html
Australia,England,Australia,4 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1979-02-04,ODI # 59,http://stats.espncricinfo.com/ci/engine/match/64170.html
Australia,England,Australia,6 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1979-02-07,ODI # 60,http://stats.espncricinfo.com/ci/engine/match/64171.html
India,West Indies,West Indies,9 wickets,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1979-06-09,ODI # 61,http://stats.espncricinfo.com/ci/engine/match/65050.html
New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1979-06-09,ODI # 62,http://stats.espncricinfo.com/ci/engine/match/65051.html
England,Australia,England,6 wickets,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1979-06-09,ODI # 63,http://stats.espncricinfo.com/ci/engine/match/65052.html
Canada,Pakistan,Pakistan,8 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1979-06-09,ODI # 64,http://stats.espncricinfo.com/ci/engine/match/65053.html
India,New Zealand,New Zealand,8 wickets,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1979-06-13,ODI # 65,http://stats.espncricinfo.com/ci/engine/match/65054.html
Australia,Pakistan,Pakistan,89 runs,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1979-06-13,ODI # 66,http://stats.espncricinfo.com/ci/engine/match/65055.html
England,Canada,England,8 wickets,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1979-06-13,ODI # 67,http://stats.espncricinfo.com/ci/engine/match/65056.html
India,Sri Lanka,Sri Lanka,47 runs,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1979-06-16,ODI # 68,http://stats.espncricinfo.com/ci/engine/match/65057.html
New Zealand,West Indies,West Indies,32 runs,Nottingham,http://stats.espncricinfo.com/ci/content/ground/57219.html,1979-06-16,ODI # 69,http://stats.espncricinfo.com/ci/engine/match/65058.html
Australia,Canada,Australia,7 wickets,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1979-06-16,ODI # 70,http://stats.espncricinfo.com/ci/engine/match/65059.html
England,Pakistan,England,14 runs,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1979-06-16,ODI # 71,http://stats.espncricinfo.com/ci/engine/match/65060.html
England,New Zealand,England,9 runs,Manchester,http://stats.espncricinfo.com/ci/content/ground/57160.html,1979-06-20,ODI # 72,http://stats.espncricinfo.com/ci/engine/match/65061.html
Pakistan,West Indies,West Indies,43 runs,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1979-06-20,ODI # 73,http://stats.espncricinfo.com/ci/engine/match/65062.html
England,West Indies,West Indies,92 runs,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1979-06-23,ODI # 74,http://stats.espncricinfo.com/ci/engine/match/65063.html
Australia,West Indies,Australia,5 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1979-11-27,ODI # 75,http://stats.espncricinfo.com/ci/engine/match/65287.html
England,West Indies,England,2 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1979-11-28,ODI # 76,http://stats.espncricinfo.com/ci/engine/match/65288.html
Australia,England,England,3 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1979-12-08,ODI # 77,http://stats.espncricinfo.com/ci/engine/match/65289.html
Australia,West Indies,West Indies,80 runs,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1979-12-09,ODI # 78,http://stats.espncricinfo.com/ci/engine/match/65290.html
Australia,England,England,72 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1979-12-11,ODI # 79,http://stats.espncricinfo.com/ci/engine/match/65291.html
Australia,West Indies,Australia,7 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1979-12-21,ODI # 80,http://stats.espncricinfo.com/ci/engine/match/65292.html
England,West Indies,West Indies,9 wickets,Brisbane,http://stats.espncricinfo.com/ci/content/ground/56336.html,1979-12-23,ODI # 81,http://stats.espncricinfo.com/ci/engine/match/65293.html
Australia,England,England,4 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1979-12-26,ODI # 82,http://stats.espncricinfo.com/ci/engine/match/65294.html
Australia,England,England,2 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1980-01-14,ODI # 83,http://stats.espncricinfo.com/ci/engine/match/65295.html
England,West Indies,West Indies,107 runs,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,1980-01-16,ODI # 84,http://stats.espncricinfo.com/ci/engine/match/65296.html
Australia,West Indies,Australia,9 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1980-01-18,ODI # 85,http://stats.espncricinfo.com/ci/engine/match/65297.html
England,West Indies,West Indies,2 runs,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1980-01-20,ODI # 86,http://stats.espncricinfo.com/ci/engine/match/65298.html
England,West Indies,West Indies,8 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1980-01-22,ODI # 87,http://stats.espncricinfo.com/ci/engine/match/65299.html
New Zealand,West Indies,New Zealand,1 wicket,Christchurch,http://stats.espncricinfo.com/ci/content/ground/58812.html,1980-02-06,ODI # 88,http://stats.espncricinfo.com/ci/engine/match/64172.html
England,West Indies,West Indies,24 runs,Leeds,http://stats.espncricinfo.com/ci/content/ground/57092.html,1980-05-28,ODI # 89,http://stats.espncricinfo.com/ci/engine/match/64965.html
England,West Indies,England,3 wickets,Lord's,http://stats.espncricinfo.com/ci/content/ground/57129.html,1980-05-30,ODI # 90,http://stats.espncricinfo.com/ci/engine/match/64966.html
England,Australia,England,23 runs,The Oval,http://stats.espncricinfo.com/ci/content/ground/57127.html,1980-08-20,ODI # 91,http://stats.espncricinfo.com/ci/engine/match/64967.html
England,Australia,England,47 runs,Birmingham,http://stats.espncricinfo.com/ci/content/ground/56788.html,1980-08-22,ODI # 92,http://stats.espncricinfo.com/ci/engine/match/64968.html
Pakistan,West Indies,West Indies,4 wickets,Karachi,http://stats.espncricinfo.com/ci/content/ground/58956.html,1980-11-21,ODI # 93,http://stats.espncricinfo.com/ci/engine/match/64173.html
Australia,New Zealand,New Zealand,3 wickets,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,1980-11-23,ODI # 94,http://stats.espncricinfo.com/ci/engine/match/65300.html
Australia,New Zealand,Australia,94 runs,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1980-11-25,ODI # 95,http://stats.espncricinfo.com/ci/engine/match/65301.html
Pakistan,West Indies,West Indies,7 wickets,Sialkot,http://stats.espncricinfo.com/ci/content/ground/59018.html,1980-12-05,ODI # 96,http://stats.espncricinfo.com/ci/engine/match/64174.html
Australia,India,India,66 runs,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1980-12-06,ODI # 97,http://stats.espncricinfo.com/ci/engine/match/65302.html
Australia,New Zealand,Australia,4 wickets,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,1980-12-07,ODI # 98,http://stats.espncricinfo.com/ci/engine/match/65303.html
India,New Zealand,India,5 runs,Perth,http://stats.espncricinfo.com/ci/content/ground/56490.html,1980-12-09,ODI # 99,http://stats.espncricinfo.com/ci/engine/match/65304.html
Australia,India,Australia,9 wickets,Sydney,http://stats.espncricinfo.com/ci/content/ground/56544.html,1980-12-18,ODI # 100,http://stats.espncricinfo.com/ci/engine/match/65305.html
Pakistan,West Indies,West Indies,7 runs,Lahore,http://stats.espncricinfo.com/ci/content/ground/58967.html,1980-12-19,ODI # 101,http://stats.espncricinfo.com/ci/engine/match/64175.html
India,New Zealand,New Zealand,3 wickets,Brisbane,http://stats.espncricinfo.com/ci/content/ground/56336.html,1980-12-21,ODI # 102,http://stats.espncricinfo.com/ci/engine/match/65306.html
India,New Zealand,India,6 runs,Adelaide,http://stats.espncricinfo.com/ci/content/ground/56293.html,1980-12-23,ODI # 103,http://stats.espncricinfo.com/ci/engine/match/65307.html
